trackingID,sessionID,userID,timestamp,latitud,longitud,accuracy,speed,heading,altitude
38,6cae0455-11e7-4bbc-9768-6893d7298a8b,8,2026-06-02T09:10:34.513Z,43.061870,-2.505928,63.000,,,
39,6cae0455-11e7-4bbc-9768-6893d7298a8b,8,2026-06-02T09:11:39.170Z,43.061999,-2.505965,63.000,,,
40,6cae0455-11e7-4bbc-9768-6893d7298a8b,8,2026-06-02T09:12:34.943Z,43.061996,-2.505965,63.000,,,
41,6cae0455-11e7-4bbc-9768-6893d7298a8b,8,2026-06-02T09:13:34.886Z,43.061996,-2.505965,63.000,,,
42,6cae0455-11e7-4bbc-9768-6893d7298a8b,8,2026-06-02T09:14:35.599Z,43.061996,-2.505965,63.000,,,
43,6cae0455-11e7-4bbc-9768-6893d7298a8b,8,2026-06-02T09:15:01.420Z,43.061959,-2.505944,65.000,,,
44,3f976aa5-a77f-4d9c-ae1d-164a56ad48cd,8,2026-06-03T06:36:21.069Z,43.062118,-2.506035,63.000,,,
45,3f976aa5-a77f-4d9c-ae1d-164a56ad48cd,8,2026-06-03T06:37:28.328Z,43.062070,-2.506035,61.000,,,
46,3f976aa5-a77f-4d9c-ae1d-164a56ad48cd,8,2026-06-03T06:38:25.658Z,43.062114,-2.506052,63.000,,,
47,3f976aa5-a77f-4d9c-ae1d-164a56ad48cd,8,2026-06-03T06:38:28.331Z,43.062114,-2.506052,63.000,,,
48,9f605817-6956-449c-aee6-9a46b054c863,11,2026-06-03T07:03:23.392Z,43.061770,-2.505917,114.000,,,
49,9f605817-6956-449c-aee6-9a46b054c863,11,2026-06-03T07:04:38.087Z,43.061894,-2.505092,68.000,,,
50,9f605817-6956-449c-aee6-9a46b054c863,11,2026-06-03T07:05:28.479Z,43.062660,-2.507270,241.000,,,
50,9f605817-6956-449c-aee6-9a46b054c863,11,2026-06-03T07:05:28.479Z,43.062660,-2.507270,241.000,,,
51,c1c72292-b80f-47aa-8cbe-e185782b7224,11,2026-06-03T07:06:39.690Z,43.063057,-2.507686,49.000,,,
52,b62789ce-3798-4c7a-ac03-561a5b1bf521,1,2026-06-03T07:10:38.838Z,43.063747,-2.508461,118.000,,,
53,b62789ce-3798-4c7a-ac03-561a5b1bf521,1,2026-06-03T07:10:55.634Z,43.063747,-2.508461,118.000,,,
54,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:11:48.101Z,43.063747,-2.508461,118.000,,,
55,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:12:48.595Z,43.063747,-2.508461,118.000,,,
56,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:13:48.623Z,43.063747,-2.508461,118.000,,,
57,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:14:48.471Z,43.063747,-2.508461,118.000,,,
58,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:15:48.480Z,43.063747,-2.508461,118.000,,,
59,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:16:48.566Z,43.063747,-2.508461,118.000,,,
60,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:17:54.215Z,43.071770,-2.473211,103.000,,,
61,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:18:53.079Z,43.071855,-2.473030,101.000,,,
62,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:19:53.191Z,43.071797,-2.473126,92.000,,,
63,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:20:47.756Z,43.071854,-2.473092,90.000,,,
63,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:20:47.756Z,43.071854,-2.473092,90.000,,,
63,8d6fdc27-9d5d-4f91-81d1-bf0ccaa8e78f,1,2026-06-03T07:20:47.756Z,43.071854,-2.473092,90.000,,,
