stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:Quay:2646_Plataforma_Q1:,,Ariz-Basauri,,"Avd. Cervantes, 8 bajo / Basauri",43.23997,-2.879,ES:Euskotren:Zone:4:,,0,ES:Euskotren:StopPlace:2646:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2646_Plataforma_Q2:,,Ariz-Basauri,,"Avd. Cervantes, 8 bajo / Basauri",43.239954,-2.879121,ES:Euskotren:Zone:4:,,0,ES:Euskotren:StopPlace:2646:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2647_Plataforma_Q1:,,Añorga-Donostia,,"Avd. de Añorga, 12 / Donostia-San Sebastián",43.291618,-1.994592,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2647:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2647_Plataforma_Q2:,,Añorga-Donostia,,"Avd. de Añorga, 12 / Donostia-San Sebastián",43.291618,-1.994592,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2647:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2648_Plataforma_Q1:,,Intxaurrondo-Donostia,,Plaza Sagastieder / Donostia-San Sebastián,43.314244,-1.954914,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2648:,,1,ES:Euskotren:Level:Level:Minus2:,
ES:Euskotren:Quay:2648_Plataforma_Q2:,,Intxaurrondo-Donostia,,Plaza Sagastieder / Donostia-San Sebastián,43.314087,-1.954786,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2648:,,1,ES:Euskotren:Level:Level:Minus2:,
ES:Euskotren:Quay:2649_Plataforma_Q1:,,Ficoba-Irun,,Avda. de Iparralde / Irun,43.348964,-1.786877,ES:Euskotren:Zone:43:,,0,ES:Euskotren:StopPlace:2649:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2650_Plataforma_Q1:,,Mendaro,,"Calle de José María Linazasoro, 9-11 / Mendaro",43.252281,-2.388031,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2650:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2650_Plataforma_Q2:,,Mendaro,,"Calle de José María Linazasoro, 9-11 / Mendaro",43.252336,-2.387763,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2650:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2651_Plataforma_Q1:,,Errekalde-Donostia,,Autovía del Norte / Donostia-San Sebastián,43.27874,-2.007477,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2651:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2651_Plataforma_Q2:,,Errekalde-Donostia,,Autovía del Norte / Donostia-San Sebastián,43.27874,-2.007477,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2651:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2652_Plataforma_Q1:,,Lekunbiz-Zamudio,,"Barrio de San Antolín, 27 / Zamudio",43.286718,-2.874588,ES:Euskotren:Zone:2:,,0,ES:Euskotren:StopPlace:2652:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2653_Plataforma_Q1:,,Usurbil,,"Calle de Erribera, 25 / Usurbil",43.268631,-2.052824,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2653:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2653_Plataforma_Q2:,,Usurbil,,"Calle de Erribera, 25 / Usurbil",43.268559,-2.052813,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2653:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2654_Plataforma_Q1:,,Gaintxurizketa-Lezo,,Carretera Madrid-Irún / Lezo,43.326663,-1.857643,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2654:,,2,ES:Euskotren:Level:Level:0:,
