stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
100,48044011,LOS CHOPOS 35 (100),,43.3400968360207,-3.00208050193624,2,,0,,Europe/Madrid,1,0,
118,48044002,LOS CHOPOS 22 (118),,43.3398807293547,-3.00193121808597,2,,0,,Europe/Madrid,1,0,
119,48044003,LOS CHOPOS 40 (119),,43.3443379068986,-3.00048783665182,2,,0,,Europe/Madrid,1,0,
120,48044004,LOS CHOPOS 46 (FADURA) (120),,43.3486672908231,-3.00058398962352,2,,0,,Europe/Madrid,1,0,
121,48044005,OLLARETXE 8 (GETXO I) (121),,43.3535585431901,-3.00485590645191,2,,0,,Europe/Madrid,1,0,
122,48044006,OLLARETXE 10 (EL REDENTOR) (122),,43.3569711633268,-3.00675659404824,2,,0,,Europe/Madrid,0,0,
123,48044029,MAIDAGAN (PARKEA) (123),,43.3599144574601,-3.01052683610655,2,,0,,Europe/Madrid,0,0,
126,48020019,GRAN VÍA 6 (126),,43.2616704092672,-2.92847604352556,1,,0,,Europe/Madrid,1,0,
127,48020071,SAN JOSÉ PLAZA (ELCANO 5) (127),,43.2639983899594,-2.93560331451549,1,,0,,Europe/Madrid,1,0,
128,48020054,DEUSTUKO UNIBERTSITATEA (PIO X PLAZA) (128),,43.270908187357,-2.9415971873354,1,,0,,Europe/Madrid,1,0,
129,48020037,SAN PEDRO PLAZA (129),,43.2719904972641,-2.94513290408517,1,,0,,Europe/Madrid,1,0,
130,48020038,BIDARTE (LEHENDAKARI AGUIRRE 42) (130),,43.2721731694202,-2.95080265046693,1,,0,,Europe/Madrid,0,0,
131,48020039,SARRIKO (LEHENDAKARI AGUIRRE 88) (131),,43.2748231103656,-2.95866614808138,1,,0,,Europe/Madrid,0,0,
132,48020040,SAN IGNACIO (LEHENDAKARI AGUIRRE 140) (132),,43.2768682129197,-2.96009005307663,1,,0,,Europe/Madrid,0,0,
133,48020041,SAN IGNACIO (LEHENDAKARI AGUIRRE 154) (133),,43.2788946489983,-2.96122246583724,1,,0,,Europe/Madrid,0,0,
134,48020042,PLAZA LEVANTE (LEHENDAKARI AGUIRRE 172) (134),,43.2817676629494,-2.96282291069897,1,,0,,Europe/Madrid,1,0,
137,48020045,LUTXANA (RIBERA DE ELORRIETA) (137),,43.2884324402027,-2.96915910808027,1,,0,,Europe/Madrid,0,0,
138,48902001,LUTXANA (138),,43.2907381033155,-2.9709823333541,2,,0,,Europe/Madrid,1,0,
139,48902032,IBAÑEZ BETOLATZA (139),,43.2954385325249,-2.96864543877823,2,,0,,Europe/Madrid,0,0,
140,48902093,PLAIABARRI (140),,43.2965995889204,-2.96673385647266,2,,0,,Europe/Madrid,0,0,
141,48902033,SARATSETA (141),,43.2989758583683,-2.96389697726139,2,,0,,Europe/Madrid,0,0,
145,48902037,ERANDIONDO (145),,43.3031598811266,-2.95507880678108,2,,0,,Europe/Madrid,0,0,
146,48902026,ASUA (LA AVANZADA 12) (146),,43.3039132358219,-2.94812434490884,2,,0,,Europe/Madrid,1,0,
147,48902027,ERANDIOGOIKOA (147),,43.3081076682253,-2.95445974958245,2,,0,,Europe/Madrid,0,0,
150,48902030,ERANDIOGOIKOA (150),,43.3072472054774,-2.95316447778739,2,,0,,Europe/Madrid,1,0,
151,48902039,ASUA (MAKRO) (151),,43.3037515811648,-2.94907755966533,2,,0,,Europe/Madrid,1,0,
153,48902041,ERANDIONDO (153),,43.3021522883163,-2.95749608493484,2,,0,,Europe/Madrid,0,0,
154,48902087,SAKONI (154),,43.300315767709,-2.95864395156481,2,,0,,Europe/Madrid,0,0,
156,48902043,SARATSETA (156),,43.2988229075717,-2.96430391136414,2,,0,,Europe/Madrid,0,0,
157,48902095,PLAIABARRI (157),,43.2966626499039,-2.96683244735891,2,,0,,Europe/Madrid,0,0,
158,48902044,IBAÑEZ BETOLATZA (158),,43.2954836128923,-2.96885499025043,2,,0,,Europe/Madrid,0,0,
159,48902014,LUTXANA (159),,43.2905309968176,-2.97098243181323,2,,0,,Europe/Madrid,1,0,
160,48020046,LUTXANA (RIBERA DE ELORRIETA) (160),,43.2866941372875,-2.96768084895481,1,,0,,Europe/Madrid,1,0,
161,48020047,RIBERA DE ELORRIETA (161),,43.284190714561,-2.96721379994837,1,,0,,Europe/Madrid,1,0,
162,48020048,PLAZA LEVANTE (LEHENDAKARI AGUIRRE 179) (162),,43.2818037772789,-2.96311869248041,1,,0,,Europe/Madrid,1,0,
163,48020050,SAN IGNACIO (LEHENDAKARI AGUIRRE 147) (163),,43.2776698781928,-2.960816664186,1,,0,,Europe/Madrid,1,0,
164,48020114,SAN IGNACIO (LEHENDAKARI AGUIRRE 131) (164),,43.2757695288092,-2.95975802473157,1,,0,,Europe/Madrid,0,0,
165,48020051,SARRIKO (LEHENDAKARI AGUIRRE  83) (165),,43.2737607073333,-2.95759040642544,1,,0,,Europe/Madrid,0,0,
167,48020053,SAN PEDRO PLAZA (167),,43.2715752256153,-2.94406548114299,1,,0,,Europe/Madrid,0,0,
168,48020055,MUSEO PLAZA (168),,43.2660614706448,-2.93742479290985,1,,0,,Europe/Madrid,1,0,
169,48020025,GRAN VÍA 45 (SOTA) (169),,43.2632696987902,-2.93683622429692,1,,0,,Europe/Madrid,1,0,
171,48020017,ABANDO (GELTOKIA/ESTACIÓN) (171),,43.2605451701038,-2.92816527312086,1,,0,,Europe/Madrid,1,0,
172,48020148,ENRIQUE IBARRETA (SANTUTXU) (172),,43.254688388556,-2.91013613622519,1,,0,,Europe/Madrid,1,0,
173,48020159,JESUS GALINDEZ (ADORATRICES) (173),,43.260478558036,-2.90476669431675,1,,0,,Europe/Madrid,0,0,
174,48020160,JESUS GALINDEZ (COLEGIO ALEMÁN) (174),,43.2592078346912,-2.9089910667923,1,,0,,Europe/Madrid,0,0,
175,48020149,ZABALBIDE (UR DEPOSITUA/DEPÓSITO AGUAS) (175),,43.2580387825906,-2.91096899396635,1,,0,,Europe/Madrid,0,0,
177,48020155,MAURICE RAVEL (PANERA) (177),,43.2654898588482,-2.91667535798348,1,,0,,Europe/Madrid,1,0,
178,48020156,MAURICE RAVEL (TELÉFONICA) (178),,43.26790443915,-2.9185204172273,1,,0,,Europe/Madrid,1,0,
181,48020157,MAURICE RAVEL (BEGIRATOKIA/MIRADOR) (181),,43.2695820126709,-2.92241202639439,1,,0,,Europe/Madrid,1,0,
182,48020158,MAURICE RAVEL (TELEFÓNICA) (182),,43.2676252947359,-2.91852078955815,1,,0,,Europe/Madrid,0,0,
183,48020107,ZUMALAKARREGI (ETXEBARRIA PARKEA) (183),,43.2607161336273,-2.91485849791825,1,,0,,Europe/Madrid,1,0,
184,48020209,AYALA (184),,43.2608515049824,-2.92931482532414,1,,0,,Europe/Madrid,0,0,
186,48020173,BIZKAIA PLAZA (186),,43.2603179030842,-2.93721308947814,1,,0,,Europe/Madrid,0,0,
198,48902002,RIBERA DE ERANDIO (198),,43.296601456193,-2.97393361567561,2,,0,,Europe/Madrid,0,0,
199,48902003,JOSE LUIS GOIOAGA (199),,43.2994923596514,-2.97584937491227,2,,0,,Europe/Madrid,1,0,
201,48902071,GERNIKA ETORBIDEA (TELEFÓNICA) (201),,43.3029492014469,-2.97178533677909,2,,0,,Europe/Madrid,1,0,
203,48902057,ALTZAGA-ERANDIOGOIKOA (BASABE) (203),,43.3014131888396,-2.96898117281858,2,,0,,Europe/Madrid,0,0,
204,48902058,ALTZAGA-ERANDIOGOIKOA (ARRIAGA) (204),,43.3032448468299,-2.96622460108366,2,,0,,Europe/Madrid,1,0,
205,48902059,ALTZAGA-ERANDIGOIKOA (ARTETXE) (205),,43.3042206793523,-2.96275325454782,2,,0,,Europe/Madrid,1,0,
206,48902060,ALTZAGA-ERANDIOGOIKOA (BEITITBEKOA) (206),,43.3020001513171,-2.96010998897871,2,,0,,Europe/Madrid,1,0,
207,48902061,ALTZAGA-ERANDIOGOIKOA (URIBARRI) (207),,43.303836931731,-2.95965259258325,2,,0,,Europe/Madrid,0,0,
208,48902062,ALTZAGA-ERANDIOGOIKOA (ELEXALDE) (208),,43.3074831794813,-2.95793613983225,2,,0,,Europe/Madrid,1,0,
211,48902046,MAGDALENABIDEA (ZABALBIDEA) (211),,43.3177331064252,-2.9657475756382,2,,0,,Europe/Madrid,0,0,
212,48902047,MAGDALENABIDEA (IBARRA) (212),,43.3215048466867,-2.96227971005979,2,,0,,Europe/Madrid,1,0,
213,48902024,MAGDALENABIDEA (IKATZA) (213),,43.3243668789,-2.95818313151394,2,,0,,Europe/Madrid,0,0,
214,48902048,MAGDALENABIDEA (MAGDALENA) (214),,43.3258159240445,-2.95633202982257,2,,0,,Europe/Madrid,0,0,
215,48902092,MAGDALENABIDEA (ERREKURTZE) (215),,43.3292108948479,-2.9569832155618,2,,0,,Europe/Madrid,0,0,
220,48902056,MAGDALENABIDEA (ERREKURTZE) (220),,43.3291389466651,-2.95721885956449,2,,0,,Europe/Madrid,0,0,
221,48902049,MAGDALENABIDEA (MAGDALENA) (221),,43.3258429847869,-2.95645535100955,2,,0,,Europe/Madrid,0,0,
222,48902028,MAGDALENABIDEA (IKATZA) (222),,43.3243849420659,-2.95833112426965,2,,0,,Europe/Madrid,0,0,
223,48902050,MAGDALENABIDEA (IBARRA) (223),,43.3215679193575,-2.96240300296266,2,,0,,Europe/Madrid,1,0,
224,48902051,MAGDALENABIDEA (ZABALBIDEA) (224),,43.3176071209312,-2.96601155957622,2,,0,,Europe/Madrid,0,0,
227,48902065,ALTZAGA-ERANDIOGOIKOA (ELEXALDE) (227),,43.3077082673075,-2.95786200228327,2,,0,,Europe/Madrid,1,0,
228,48902066,ALTZAGA-ERANDIOGOIKOA (URIBARRI) (228),,43.303791960782,-2.95980057750264,2,,0,,Europe/Madrid,0,0,
229,48902105,ALTZAGA-ERANDIOGOIKOA (BEITIBEKOA) (229),,43.3015675729229,-2.9590992815949,2,,0,,Europe/Madrid,1,0,
230,48902067,ALTZAGA-ERANDIOGOIKOA  (ARTETXE) (230),,43.3043507175298,-2.96278893131983,2,,0,,Europe/Madrid,0,0,
231,48902068,ALTZAGA-ERANDIOGOIKOA (ARRIAGA) (231),,43.3034656515738,-2.96688040996734,2,,0,,Europe/Madrid,1,0,
232,48902069,ALTZAGA-ERANDIOGOIKOA  (BASABE) (232),,43.3014582804973,-2.96923512990526,2,,0,,Europe/Madrid,1,0,
234,48902072,OBIETA 33 (234),,43.304137711964,-2.97139023775526,2,,0,,Europe/Madrid,1,0,
236,48902012,JOSE LUIS GOIOAGA (236),,43.2994113435461,-2.97597022836653,2,,0,,Europe/Madrid,1,0,
237,48902110,LEGAZPI (237),,43.3032102987076,-2.97430536190823,2,,0,,Europe/Madrid,0,0,
241,48020049,SAN IGNACIO (LEHENDAKARI AGUIRRE 161) (241),,43.2793720819883,-2.96177677262655,1,,0,,Europe/Madrid,0,0,
244,48020052,BIDARTE (LEHENDAKARI AGUIRRE 33) (244),,43.2719562198273,-2.9501158085093,1,,0,,Europe/Madrid,1,0,
248,48020174,ELCANO 16 (248),,43.261106954596,-2.9339640984177,1,,0,,Europe/Madrid,1,0,
251,48036038,ZABALGANE (251),,43.2302341722653,-2.83834069711299,2,,0,,Europe/Madrid,1,0,
252,48036027,UDALETXEA/AYUNTAMIENTO (252),,43.2306981761316,-2.84181225888077,2,,0,,Europe/Madrid,1,0,
253,48036028,JUAN BAUTISTA URIARTE 27 (253),,43.2302513113924,-2.84493249735931,2,,0,,Europe/Madrid,1,0,
255,48036014,IBAIZABAL (255),,43.231745680851,-2.85071321683795,2,,0,,Europe/Madrid,1,0,
256,48036015,BENGOETXE (256),,43.232459033041,-2.8594552723034,2,,0,,Europe/Madrid,1,0,
257,48036036,OLABARRIETA (POBLADO FIRESTONE) (257),,43.2373349206584,-2.87084873425248,2,,0,,Europe/Madrid,1,0,
258,48036016,APERRIBAI (258),,43.2404538699003,-2.87382281635625,2,,0,,Europe/Madrid,1,0,
259,48029002,KUKULLAGA (259),,43.2465464851612,-2.88776646358385,2,,0,,Europe/Madrid,1,0,
260,48020101,BOLUETA (GASOLINDEGIA/GASOLINERA) (260),,43.2469007501277,-2.91184760827576,1,,0,,Europe/Madrid,1,0,
261,48036059,BENGOETXE - LA TROKA (261),,43.2331611219963,-2.85988826758261,2,,0,,Europe/Madrid,1,0,
262,48036058,BENGOETXE - LA TROKA (262),,43.2329896099362,-2.85954383171432,2,,0,,Europe/Madrid,0,0,
263,48020096,BOLUETA (GASOLINDEGIA/GASOLINERA) (263),,43.2467657083422,-2.91188488045719,1,,0,,Europe/Madrid,1,0,
264,48029001,KUKULLAGA (264),,43.2466825299585,-2.88876397769011,2,,0,,Europe/Madrid,0,0,
265,48036001,APERRIBAI (265),,43.2400036626031,-2.87384837882886,2,,0,,Europe/Madrid,1,0,
266,48036039,OLABARRIETA (POBLADO FIRESTONE) (266),,43.2372632719161,-2.87119373845806,2,,0,,Europe/Madrid,1,0,
267,48036002,BENGOETXE (267),,43.232143292787,-2.85898802239733,2,,0,,Europe/Madrid,0,0,
268,48036003,IBAIZABAL (268),,43.23090662397,-2.85016466583128,2,,0,,Europe/Madrid,1,0,
